date,symbol,when,security_name,exchange_codes,before_eps_date,after_eps_date,Ticker,Date,Adj Close,Close,High,Low,Open,Volume,Adj Close_pct_change,Close_pct_change,High_pct_change,Low_pct_change,Open_pct_change,Volume_pct_change
2023-01-03,LEDS,premarket,SemiLEDS Corporation - Common Stock,,2022-12-30,2023-01-03,LEDS,2023-01-03,1.8200000524520874,1.8200000524520874,2.0899999141693115,1.75,2.0899999141693115,84200.0,0.1375000158324835,0.1375000158324835,0.3062499268911789,0.16666666666666674,0.3062499268911789,1.2099737532808401
2023-01-03,SGH,postmarket,"SMART Global Holdings, Inc. - Ordinary Shares",,2023-01-03,2023-01-04,SGH,2023-01-04,15.75,15.75,17.094999313354492,15.569999694824219,16.8700008392334,1791600.0,0.04166667455087891,0.04166667455087891,0.09865031184720285,0.042168683543212904,0.12167559055996846,0.5502292982607944
2023-01-04,RGP,postmarket,"Resources Connection, Inc. - Common Stock",,2023-01-04,2023-01-05,RGP,2023-01-05,15.420000076293945,15.420000076293945,17.8799991607666,15.380000114440918,17.8799991607666,774000.0,-0.1718582501992626,-0.1718582501992626,-0.04589117507231688,-0.16774889094073364,-0.04231392138720125,3.8925410872313524
2023-01-04,SLP,postmarket,"Simulations Plus, Inc. - Common Stock",,2023-01-04,2023-01-05,SLP,2023-01-05,34.959999084472656,34.959999084472656,37.939998626708984,32.58000183105469,35.349998474121094,587900.0,-0.07095407674343468,-0.07095407674343468,-0.008622989994967245,-0.11802915424316929,-0.044852740413292236,1.6375056078959176
2023-01-05,CAG,premarket,"ConAgra Brands, Inc. Common Stock",,2023-01-04,2023-01-05,CAG,2023-01-05,39.970001220703125,39.970001220703125,40.779998779296875,39.04999923706055,39.65999984741211,8498400.0,0.03415264276096819,0.03415264276096819,0.04859859653665888,0.018252954127542464,0.022164964620156935,0.5759666203059806
2023-01-05,HELE,premarket,Helen of Troy Limited - Common Stock,,2023-01-04,2023-01-05,HELE,2023-01-05,110.97000122070312,110.97000122070312,111.66000366210938,104.44000244140625,110.0,943900.0,-0.014300946741568232,-0.014300946741568232,-0.04072163059822387,-0.06272994565759549,-0.013187415489416043,0.3785599532642032
2023-01-05,LNN,premarket,Lindsay Corporation Common Stock,,2023-01-04,2023-01-05,LNN,2023-01-05,161.86000061035156,161.86000061035156,169.91000366210938,158.02000427246094,161.35000610351562,177600.0,0.03332482916906909,0.03332482916906909,0.0625351746043985,0.017056119190032026,0.01991156268039629,0.4357316087308003
2023-01-05,LW,premarket,"Lamb Weston Holdings, Inc. Common Stock ",,2023-01-04,2023-01-05,LW,2023-01-05,96.02999877929688,96.02999877929688,96.87000274658203,93.5199966430664,94.87000274658203,5677700.0,0.09773656943607811,0.09773656943607811,0.10317737660729054,0.08441557235190156,0.08733527503245875,1.917176180444947
2023-01-05,MSM,premarket,"MSC Industrial Direct Company, Inc. Common Stock",,2023-01-04,2023-01-05,MSM,2023-01-05,77.02999877929688,77.02999877929688,81.9800033569336,76.83999633789062,81.19999694824219,688400.0,-0.054846640744823594,-0.054846640744823594,-0.007025123774362152,-0.052878109956383756,-0.00794137492970659,0.6351543942992874
2023-01-05,RPM,premarket,RPM International Inc. Common Stock,,2023-01-04,2023-01-05,RPM,2023-01-05,85.16999816894531,85.16999816894531,93.38999938964844,84.0199966430664,93.12999725341797,2648500.0,-0.13109568367884716,-0.13109568367884716,-0.05799878994754537,-0.13613001441866113,-0.056433635937649496,1.9725028058361391
2023-01-09,APLD,postmarket,Applied Digital Corporation - Common Stock,,2023-01-09,2023-01-10,APLD,2023-01-10,2.1700000762939453,2.1700000762939453,2.190000057220459,1.9500000476837158,2.0199999809265137,579300.0,0.04326930571590215,0.04326930571590215,-0.006802660773060132,0.04838711434753651,0.05759163153269253,-0.23159570234779148
2023-01-09,AYI,premarket,"Acuity Brands, Inc. ",,2023-01-06,2023-01-09,AYI,2023-01-09,174.64999389648438,174.64999389648438,190.0,170.86000061035156,175.35000610351562,594700.0,0.02880536962700897,0.02880536962700897,0.11033196249148425,0.021096030243643593,0.029411822668394372,0.131468797564688
2023-01-09,AZZ,postmarket,AZZ Inc.,,2023-01-09,2023-01-10,AZZ,2023-01-10,45.0,45.0,45.95000076293945,43.81999969482422,44.369998931884766,256900.0,0.06609810414693129,0.06609810414693129,0.06637272221452517,0.04832537068499998,0.04670911938535771,0.7939944134078212
2023-01-09,PSMT,postmarket,"PriceSmart, Inc. - Common Stock",,2023-01-09,2023-01-10,PSMT,2023-01-10,67.80999755859375,67.80999755859375,68.80000305175781,65.25,68.80000305175781,157900.0,0.07413268511478321,0.07413268511478321,0.07048399946011386,0.044501340242899756,0.09956853743518468,0.09046961325966851
2023-01-09,VOXX,postmarket,VOXX International Corporation - Class A Common Stock,,2023-01-09,2023-01-10,VOXX,2023-01-10,9.479999542236328,9.479999542236328,9.529999732971191,8.100000381469727,8.100000381469727,82500.0,0.04520395382660003,0.04520395382660003,0.017075757669826608,-0.09698995090969575,-0.10298996445213204,-0.06989853438556937
2023-01-10,ACI,premarket,"Albertsons Companies, Inc. Class A Common Stock",,2023-01-09,2023-01-10,ACI,2023-01-10,21.299999237060547,21.299999237060547,21.299999237060547,20.920000076293945,21.149999618530273,2453200.0,0.018164395763899055,0.018164395763899055,0.012838732363261052,0.005285949696038683,0.014875214187745067,-0.4575566611387507
2023-01-12,OGI,premarket,Organigram Holdings Inc. - Common Shares,,2023-01-11,2023-01-12,OGI,2023-01-12,3.5999999046325684,3.5999999046325684,3.696000099182129,3.4000000953674316,3.691999912261963,769200.0,0.08433734247587221,0.08433734247587221,0.106586884479414,0.04938274239498086,0.13950614240579795,2.269018274543136
2023-01-13,BAC,premarket,Bank of America Corporation Common Stock,,2023-01-12,2023-01-13,BAC,2023-01-13,35.22999954223633,35.22999954223633,35.38999938964844,33.09000015258789,34.20000076293945,89667800.0,0.022048108344038475,0.022048108344038475,0.014912545847203695,-0.03696159590233128,-0.011560628000628848,1.027288923455361
2023-01-13,BK,premarket,The Bank of New York Mellon Corporation Common Stock,,2023-01-12,2023-01-13,BK,2023-01-13,49.029998779296875,49.029998779296875,49.66999816894531,47.630001068115234,47.65999984741211,13424100.0,0.018064761931919193,0.018064761931919193,0.018662835905189912,-0.00542907339417098,-0.016711395768338355,0.4947554783538215
2023-01-13,BLK,premarket,"BlackRock, Inc. Common Stock",,2023-01-12,2023-01-13,BLK,2023-01-13,753.989990234375,753.989990234375,758.489990234375,735.0800170898438,746.6300048828125,984100.0,3.9747812676349525e-05,3.9747812676349525e-05,-0.0061192712858275655,-0.008189984651241877,-0.02165989942267088,0.0484764542936289
2023-01-13,JPM,premarket,JP Morgan Chase & Co. Common Stock,,2023-01-12,2023-01-13,JPM,2023-01-13,143.00999450683594,143.00999450683594,143.49000549316406,134.8000030517578,135.60000610351562,20200000.0,0.0252347041010359,0.0252347041010359,0.018671055455179664,-0.03174829859352146,-0.031428527832031206,0.8360798785642218
2023-01-13,UNH,premarket,UnitedHealth Group Incorporated Common Stock (DE),,2023-01-12,2023-01-13,UNH,2023-01-13,489.57000732421875,489.57000732421875,509.5,486.0,486.1099853515625,5390100.0,-0.012306586919252793,-0.012306586919252793,0.021594828417027312,0.0016075157193327083,-0.007938805404974492,0.446307824406998
