Symbol,Name,Current Price,% Change,Avg Stock Volume,Avg Option Volume,Date,Implied Move,Actual Move,Straddle Return,Avg Straddle Return,Max Return,Min Return,EtfHoldingsList,MarketCap
EDSA,Edesa Biotech - Common Shares,4.83,0.0343,80026,,2/9/2024,,,,,,,,15314848.0
CTLT,Catalent,56.71,0.0028,2497920,2186.0,2/9/2024,0.0397,0.0028,-0.452,0.1496,0.5174,-0.3961,SPY - XLV,10244167680.0
TMQ,Trilogy Metals,0.4722,-0.0284,217769,25.0,2/9/2024,0.0955,-0.0274,,,,,,73608336.0
EVI,Evi Industries,22.3,0.0529,18312,,2/9/2024,,0.0529,,,,,IWM,311585632.0
TIXT,Telus Intl,9.4,0.0251,239807,166.0,2/9/2024,0.0809,0.0251,-0.2705,-0.1276,-0.0512,-0.2177,,2569881088.0
COOP,Mr. Cooper Group,71.97,0.0542,502132,676.0,2/9/2024,0.0541,0.0542,0.0825,-0.0142,0.4153,-0.3861,KBE - IWM,4649262080.0
ESNT,Essent Group Ltd. Common Shares,51.75,-0.0219,432632,82.0,2/9/2024,0.0508,-0.0219,-0.1494,-0.112,0.108,-0.2373,KBE - IWM,5524830208.0
MXC,Mexco Energy,9.8,-0.0151,2857,,2/9/2024,,-0.0151,,,,,,20624100.0
PAGP,Plains Gp Holdings LP - Class A Shares Representing Limited Partner Interests,16.21,0.0087,2284154,2534.0,2/9/2024,0.0295,0.0087,-0.283,0.001,0.1723,-0.1701,,3183405568.0
DOCS,Doximity Class A,28.59,0.0124,1750903,1658.0,2/8/2024,0.1464,0.0124,-0.6035,0.1229,0.8082,-0.3857,,5315104256.0
VVI,Viad,33.09,-0.0096,78997,18.0,2/8/2024,0.0693,-0.0096,-0.086,0.4964,1.0108,0.2455,IWM,692221952.0
BYD,Boyd Gaming,66.75,0.0191,783271,668.0,2/8/2024,0.0563,0.0191,-0.4046,0.2186,0.8759,-0.13,,6675801088.0
PFX,Phenixfin,44.75,-0.0057,3295,,2/8/2024,,-0.0057,,,,,,92206928.0
APDN,Applied Dna Sciences,0.61,0.0167,58588,27.0,2/8/2024,0.1025,0.0167,,-0.0872,0.0202,-0.1945,,10357007.0
PRO,Pros Holdings,36.75,0.0205,334123,75.0,2/8/2024,0.0934,0.0205,-0.3817,-0.006,0.0615,-0.1768,IWM,1697948160.0
LEU,Centrus Energy Corp. Class A,45.69,-0.0183,153450,249.0,2/8/2024,0.1222,-0.0183,-0.3532,0.5444,1.5385,-0.2441,IWM,716219520.0
SENEB,Seneca Foods Corp. - Class B,49.9364,-0.0222,503,,2/8/2024,,-0.0222,,,,,,421562336.0
