date,symbol,when,security_name,exchange_codes,before_eps_date,after_eps_date
2023-01-03,LEDS,premarket,SemiLEDS Corporation - Common Stock,,2022-12-30,2023-01-03
2023-01-03,SGH,postmarket,"SMART Global Holdings, Inc. - Ordinary Shares",,2023-01-03,2023-01-04
2023-01-04,RGP,postmarket,"Resources Connection, Inc. - Common Stock",,2023-01-04,2023-01-05
2023-01-04,SLP,postmarket,"Simulations Plus, Inc. - Common Stock",,2023-01-04,2023-01-05
2023-01-05,CAG,premarket,"ConAgra Brands, Inc. Common Stock",,2023-01-04,2023-01-05
2023-01-05,HELE,premarket,Helen of Troy Limited - Common Stock,,2023-01-04,2023-01-05
2023-01-05,LNN,premarket,Lindsay Corporation Common Stock,,2023-01-04,2023-01-05
2023-01-05,LW,premarket,"Lamb Weston Holdings, Inc. Common Stock ",,2023-01-04,2023-01-05
2023-01-05,MSM,premarket,"MSC Industrial Direct Company, Inc. Common Stock",,2023-01-04,2023-01-05
2023-01-05,RPM,premarket,RPM International Inc. Common Stock,,2023-01-04,2023-01-05
2023-01-09,APLD,postmarket,Applied Digital Corporation - Common Stock,,2023-01-09,2023-01-10
2023-01-09,AYI,premarket,"Acuity Brands, Inc. ",,2023-01-06,2023-01-09
2023-01-09,AZZ,postmarket,AZZ Inc.,,2023-01-09,2023-01-10
2023-01-09,PSMT,postmarket,"PriceSmart, Inc. - Common Stock",,2023-01-09,2023-01-10
2023-01-09,VOXX,postmarket,VOXX International Corporation - Class A Common Stock,,2023-01-09,2023-01-10
2023-01-10,ACI,premarket,"Albertsons Companies, Inc. Class A Common Stock",,2023-01-09,2023-01-10
2023-01-12,OGI,premarket,Organigram Holdings Inc. - Common Shares,,2023-01-11,2023-01-12
2023-01-13,BAC,premarket,Bank of America Corporation Common Stock,,2023-01-12,2023-01-13
2023-01-13,BK,premarket,The Bank of New York Mellon Corporation Common Stock,,2023-01-12,2023-01-13
2023-01-13,BLK,premarket,"BlackRock, Inc. Common Stock",,2023-01-12,2023-01-13
2023-01-13,JPM,premarket,JP Morgan Chase & Co. Common Stock,,2023-01-12,2023-01-13
2023-01-13,UNH,premarket,UnitedHealth Group Incorporated Common Stock (DE),,2023-01-12,2023-01-13
2023-01-13,WEN,premarket,Wendy's Company (The) - Common Stock,,2023-01-12,2023-01-13
2023-01-13,WFC,premarket,Wells Fargo & Company Common Stock,,2023-01-12,2023-01-13
2023-01-13,WIT,premarket,Wipro Limited Common Stock,,2023-01-12,2023-01-13
2023-01-17,CFG,premarket,"Citizens Financial Group, Inc. Common Stock",,2023-01-13,2023-01-17
2023-01-17,EDU,premarket,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)",,2023-01-13,2023-01-17
2023-01-17,FBK,premarket,FB Financial Corporation Common Stock,,2023-01-13,2023-01-17
2023-01-17,FULT,premarket,Fulton Financial Corporation - Common Stock,,2023-01-13,2023-01-17
2023-01-17,GNTY,premarket,"Guaranty Bancshares, Inc. Common Stock",,2023-01-13,2023-01-17
2023-01-17,HWC,postmarket,Hancock Whitney Corporation - Common Stock,,2023-01-17,2023-01-18
2023-01-17,IBKR,premarket,"Interactive Brokers Group, Inc. - Class A Common Stock",,2023-01-13,2023-01-17
2023-01-17,MBWM,premarket,Mercantile Bank Corporation - Common Stock,,2023-01-13,2023-01-17
2023-01-17,MS,premarket,Morgan Stanley Common Stock,,2023-01-13,2023-01-17
2023-01-17,PNFP,postmarket,"Pinnacle Financial Partners, Inc. - Common Stock",,2023-01-17,2023-01-18
2023-01-17,UCBI,postmarket,"United Community Banks, Inc. - Common Stock",,2023-01-17,2023-01-18
2023-01-18,AA,postmarket,Alcoa Corporation Common Stock ,,2023-01-18,2023-01-19
2023-01-18,DFS,postmarket,Discover Financial Services Common Stock,,2023-01-18,2023-01-19
2023-01-18,JBHT,premarket,"J.B. Hunt Transport Services, Inc. - Common Stock",,2023-01-17,2023-01-18
2023-01-18,KMI,postmarket,"Kinder Morgan, Inc. Common Stock",,2023-01-18,2023-01-19
2023-01-18,PFBC,postmarket,Preferred Bank - Common Stock,,2023-01-18,2023-01-19
2023-01-18,PLD,premarket,"Prologis, Inc. Common Stock",,2023-01-17,2023-01-18
2023-01-18,PNC,premarket,"PNC Financial Services Group, Inc. (The) Common Stock",,2023-01-17,2023-01-18
2023-01-18,WTFC,postmarket,Wintrust Financial Corporation - Common Stock,,2023-01-18,2023-01-19
2023-01-19,BANC,premarket,"Banc of California, Inc. Common Stock",,2023-01-18,2023-01-19
2023-01-19,CMA,premarket,Comerica Incorporated Common Stock,,2023-01-18,2023-01-19
2023-01-19,CSTR,postmarket,"CapStar Financial Holdings, Inc. - Common Stock",,2023-01-19,2023-01-20
2023-01-19,FITB,premarket,Fifth Third Bancorp - Common Stock,,2023-01-18,2023-01-19
