Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Symbol
2024-07-05 08:00:00-04:00,,,,LEDS
2024-04-10 08:00:00-04:00,,,,LEDS
2024-01-12 06:00:00-05:00,,,,LEDS
2023-11-13 06:00:00-05:00,,,,LEDS
2023-11-10 04:00:00-05:00,,,,LEDS
2023-07-07 06:00:00-04:00,,,,LEDS
2023-04-12 06:00:00-04:00,,,,LEDS
2023-01-03 06:00:00-05:00,,,,LEDS
2022-11-08 06:00:00-05:00,,,,LEDS
2022-07-12 06:00:00-04:00,,,,LEDS
2022-04-07 10:00:00-04:00,,,,LEDS
2022-01-12 06:00:00-05:00,,,,LEDS
2025-01-07 05:00:00-05:00,,,,SGH
2024-10-10 06:00:00-04:00,,,,SGH
2024-06-27 06:00:00-04:00,,,,SGH
2024-04-02 06:00:00-04:00,0.25,,,SGH
2024-01-09 16:00:00-05:00,0.16,0.24,0.5206000000000001,SGH
2023-10-12 16:00:00-04:00,0.45,0.35,-0.2285,SGH
2023-06-29 16:00:00-04:00,0.4,0.66,0.6384000000000001,SGH
2023-04-04 16:00:00-04:00,0.6,0.76,0.272,SGH
2023-01-03 16:00:00-05:00,0.57,0.79,0.38310000000000005,SGH
2022-10-04 16:00:00-04:00,0.65,0.8,0.23199999999999998,SGH
2022-06-29 16:00:00-04:00,0.76,0.87,0.15230000000000002,SGH
2022-04-05 16:00:00-04:00,0.72,0.87,0.2028,SGH
2025-01-01 05:00:00-05:00,,,,RGP
2024-10-02 06:00:00-04:00,,,,RGP
2024-07-22 06:00:00-04:00,,,,RGP
2024-04-02 06:00:00-04:00,0.05,,,RGP
2024-01-03 16:00:00-05:00,0.13,0.28,1.1538,RGP
2023-10-04 16:00:00-04:00,0.23,0.2,-0.1304,RGP
2023-07-24 16:00:00-04:00,0.35,0.44,0.2571,RGP
2023-04-04 16:00:00-04:00,0.33,0.37,0.1385,RGP
2023-01-04 16:00:00-05:00,0.47,0.59,0.2553,RGP
2022-10-05 16:00:00-04:00,0.49,0.6,0.2371,RGP
2022-07-28 16:00:00-04:00,0.44,0.67,0.5227,RGP
2022-04-06 16:00:00-04:00,0.4,0.65,0.625,RGP
2025-01-01 16:00:00-05:00,,,,SLP
2024-10-23 06:00:00-04:00,,,,SLP
2024-07-04 06:00:00-04:00,,,,SLP
2024-04-03 16:00:00-04:00,0.19,,,SLP
